New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,10276,,"1,345",740,440,90,10,65,"1,433",800,89,835
,10280,,605,465,45,30,35,30,975,789,52,510
,10282,,305,230,20,25,15,15,506,407,44,265
"New York City, East Harlem",,,"21,930","14,500","3,270","1,600","1,060","1,500","28,409","21,305","1,931","16,400"
,10029,,"12,415","6,955","2,660","1,065",560,"1,175","12,332","7,700","1,040","8,025"
,10128,,"9,515","7,545",610,535,500,325,"16,077","13,605",891,"8,375"
"New York City, East Village",,,"25,900","18,110","3,435","1,700","1,460","1,195","25,035","18,534","1,628","19,675"
,10002,,"16,240","11,440","1,970","1,085","1,025",720,"13,683","9,979",980,"12,450"
,10009,,"9,660","6,670","1,465",615,435,475,"11,352","8,555",648,"7,225"
"New York City, Midtown",,,"83,785","66,955","5,485","4,445","3,890","3,010","137,182","116,375","7,425","73,450"
,10001,,"4,855","2,820",880,155,120,880,"5,580","3,651",183,"3,045"
,10016,,"6,490","5,295",530,285,220,160,"10,236","8,810",420,"5,605"
,10017,,"2,295","1,930",90,120,115,40,"3,984","3,478",216,"2,090"
,10018,,"1,090",675,230,65,35,85,"1,289",865,79,740
,10019,,"5,680","4,435",505,315,260,165,"8,041","6,654",440,"4,835"
,10020,,15,15,0,0,0,0,31,29,0,15
,10021,,"8,520","7,105",220,565,465,165,"15,643","13,589","1,064","7,995"
,10022,,"7,165","5,975",175,430,390,195,"13,203","11,549",806,"6,680"
,10023,,"11,390","9,505",535,605,485,260,"19,363","16,896","1,023","10,375"
,10024,,"10,745","8,850",580,495,510,310,"17,831","15,506",779,"9,620"
,10028,,"8,070","6,680",330,425,425,210,"14,357","12,409",761,"7,355"
,10036,,"3,595","2,565",640,150,100,140,"4,242","3,169",181,"2,665"
,10044,,"1,400","1,025",150,65,75,85,"1,865","1,513",81,"1,135"
,10065,,"5,420","4,505",135,375,320,85,"9,818","8,463",716,"5,105"
,10069,,400,305,20,20,30,25,680,549,35,340
,10075,,"4,805","3,950",155,290,285,125,"8,615","7,400",535,"4,450"
,10101,,105,85,15,5,0,0,138,111,3,85
,10107,,20,15,0,0,5,0,36,33,0,20
,10108,,120,75,40,0,0,5,134,87,0,75
,10116,,265,175,70,10,5,5,279,190,9,170
,10118,,40,10,10,0,0,20,33,13,0,10
,10123,,20,20,0,0,0,0,34,33,0,20
,10129,,40,30,10,0,0,0,48,36,0,30
,10138,,265,155,70,25,0,15,284,168,26,180
,10150,,230,185,25,10,5,5,301,255,15,190
,10156,,85,60,10,5,5,5,113,83,5,60
,10162,,315,250,10,20,25,10,558,476,35,290
,10163,,230,170,35,5,5,15,288,225,7,170
,10165,,35,30,5,0,0,0,62,56,0,35
,10185,,80,60,10,5,5,0,96,79,3,65
"New York City, Uptown",,,"53,220","35,600","9,335","2,940","1,815","3,530","62,682","46,502","3,193","38,210"
,10025,,"16,990","13,210","1,610",830,690,650,"24,637","20,601","1,084","14,260"
,10026,,"4,225","2,550",930,245,135,365,"4,483","2,968",245,"2,725"
,10027,,"7,475","4,625","1,585",445,230,590,"8,439","5,886",485,"4,985"
,10030,,"3,635","2,095",905,200,85,350,"3,657","2,309",199,"2,195"
,10031,,"7,725","5,160","1,420",390,320,435,"7,442","5,342",355,"5,475"
,10035,,"5,280","2,905","1,290",415,195,475,"4,966","2,974",392,"3,295"
,10037,,"3,755","2,615",655,185,55,245,"4,587","3,450",194,"2,680"
,10039,,"4,135","2,440",940,230,105,420,"4,471","2,972",239,"2,595"
"New York City, Washington Heights",,,"43,770","30,030","6,820","2,430","2,085","2,405","46,565","34,835","2,545","32,295"
,10032,,"9,570","6,385","1,665",485,505,530,"8,857","6,329",445,"6,870"
,10033,,"8,545","5,730","1,395",480,485,455,"8,259","6,020",463,"6,185"
,10034,,"5,865","3,880","1,035",305,305,340,"5,735","4,125",290,"4,095"
,10040,,"6,665","4,490","1,120",365,310,380,"6,558","4,773",356,"4,820"
,10463,,"13,125","9,545","1,605",795,480,700,"17,156","13,588",991,"10,325"
Newburgh,,,"65,100","42,410","10,510","4,060","2,225","5,895","86,889","61,579","5,507","45,145"
,10912,,30,25,5,0,0,0,52,43,0,25
,10914,,175,130,15,10,10,10,260,206,16,140
,10915,,105,70,20,5,5,5,140,100,10,75
,10916,,875,580,120,55,45,75,"1,255",886,78,610
,10917,,310,230,25,20,10,25,463,366,28,250
,10918,,"1,780","1,235",240,100,65,140,"2,566","1,915",144,"1,300"
,10919,,235,165,40,15,5,10,338,252,19,170
,10921,,795,540,105,60,25,65,"1,122",815,85,580
,10922,,265,185,35,20,5,20,356,257,29,195
,10924,,"2,905","2,045",315,240,85,220,"4,096","3,080",331,"2,275"
,10925,,"1,005",660,185,65,30,65,"1,457",999,101,705
,10926,,510,345,85,30,20,30,735,514,48,360
,10928,,740,490,105,60,20,65,910,636,76,540
,10930,,"1,215",880,145,55,40,95,"1,809","1,390",87,915
,10932,,100,80,15,0,5,0,143,111,0,80
,10933,,85,55,15,5,0,10,113,76,9,55
,10940,,"9,105","5,495","1,925",545,270,870,"11,419","7,663",711,"5,825"
,10941,,"2,890","1,515",595,145,90,545,"3,648","2,204",195,"1,680"
,10949,,155,115,20,5,5,10,206,158,6,120
,10950,,"4,775","3,170",565,290,280,470,"6,343","4,663",396,"3,400"
,10953,,80,70,5,0,0,5,129,117,0,70
,10958,,615,430,85,30,20,50,840,626,42,450
,10959,,20,15,5,0,0,0,27,22,0,15
,10963,,495,325,95,25,15,35,661,457,35,330
,10969,,240,185,25,15,5,10,346,274,22,190
,10973,,420,290,65,25,10,30,593,438,36,305
,10975,,50,40,5,0,0,5,72,62,0,40
,10979,,45,25,5,5,5,5,57,36,8,30
,10981,,145,100,20,5,10,10,215,160,9,100
,10985,,60,50,5,5,0,0,90,75,3,50
,10987,,730,585,45,40,45,15,"1,192",999,59,640
,10988,,170,110,20,10,5,25,210,152,14,120
,10990,,"4,195","3,060",435,290,145,265,"6,190","4,718",419,"3,265"
,10992,,"1,770","1,170",275,110,70,145,"2,528","1,764",156,"1,240"
,10996,,55,30,10,0,0,15,72,47,0,30
,10998,,605,395,95,30,20,65,862,602,42,410
,12518,,"1,215",875,135,80,55,70,"1,694","1,303",110,945
,12520,,635,495,55,35,15,35,950,753,50,510
,12543,,540,325,115,30,15,55,689,453,41,340
,12549,,"1,990","1,300",280,145,75,190,"2,729","1,890",204,"1,425"
,12550,,"8,710","5,460","1,605",545,250,850,"10,863","7,520",685,"5,785"
,12551,,325,145,105,10,5,60,329,180,11,150
,12552,,45,30,5,5,0,5,66,47,5,35
,12553,,"4,600","3,075",700,305,145,375,"6,120","4,378",408,"3,275"
,12566,,"2,025","1,315",345,145,60,160,"2,754","1,914",199,"1,380"
,12575,,430,280,65,30,20,35,619,424,41,300
,12577,,330,225,50,15,10,30,483,339,23,225
,12584,,125,75,30,10,0,10,156,102,11,80
,12586,,"2,195","1,375",400,120,80,220,"2,825","1,949",164,"1,435"
,12729,,380,225,80,25,10,40,466,308,31,220
,12746,,275,170,55,15,10,25,340,234,17,180
,12771,,"2,990","1,795",615,200,90,290,"3,583","2,404",243,"1,905"
,12780,,540,355,100,30,20,35,708,498,41,370
Niagara Falls,,,"52,475","33,495","9,435","3,910","1,935","3,700","66,728","46,907","5,200","36,055"
,14008,,335,215,50,20,20,30,414,291,29,235
,14012,,625,400,105,60,20,40,813,569,76,425
,14028,,355,240,60,20,15,20,495,350,32,240
,14067,,"1,195",790,210,65,60,70,"1,569","1,129",87,815
,14092,,"3,235","2,420",305,250,140,120,"4,544","3,561",360,"2,630"
,14094,,"11,290","7,350","1,965",810,420,745,"14,633","10,489","1,095","7,760"
,14095,,405,170,125,30,5,75,444,233,37,195
,14105,,"1,055",685,185,65,45,75,"1,328",934,85,720
,14108,,"1,490",980,255,110,55,90,"1,940","1,376",144,"1,040"
,14120,,"10,635","7,145","1,585",860,425,620,"13,949","10,162","1,175","7,735"
,14126,,240,170,40,15,5,10,320,244,17,165
,14131,,"1,350",850,260,110,55,75,"1,731","1,176",150,935
,14132,,"1,395",955,200,85,70,85,"1,834","1,351",118,"1,030"
,14144,,95,95,0,0,0,0,50,50,0,95
,14172,,875,595,135,50,30,65,"1,153",850,67,615
,14174,,"1,545","1,105",200,85,75,80,"2,155","1,655",125,"1,190"
,14301,,"2,845","1,355",900,255,60,275,"3,005","1,639",293,"1,525"
,14302,,175,105,30,15,5,20,180,119,18,115
,14303,,"1,245",615,360,100,30,140,"1,369",800,116,680
,14304,,"8,190","5,140","1,470",610,295,675,"10,303","7,077",812,"5,590"
,14305,,"3,900","2,115",995,295,105,390,"4,499","2,852",364,"2,320"
Ogdensburg,,,"25,220","15,275","4,705","2,050","1,180","2,010","29,552","19,921","2,462","16,595"
,12922,,25,20,0,0,5,0,33,29,0,20
,12927,,90,65,10,5,5,5,128,95,11,75
,12965,,165,90,40,10,5,20,184,115,13,95
,12967,,270,145,60,25,10,30,287,176,27,170
,12973,,65,45,10,5,0,5,86,67,3,45
,13613,,640,360,140,45,45,50,746,468,57,395
,13614,,60,30,15,5,5,5,62,32,7,35
,13617,,"2,190","1,380",350,135,85,240,"2,589","1,841",167,"1,480"
,13621,,165,95,35,10,10,15,181,120,16,105
,13623,,25,15,5,5,0,0,32,23,5,20
,13625,,540,370,80,25,30,35,654,493,38,375
,13630,,310,190,65,20,15,20,349,232,23,210
,13633,,60,35,10,10,0,5,66,40,11,45
,13635,,290,170,50,20,30,20,347,226,28,210
,13639,,85,45,25,5,0,10,105,58,5,45
,13642,,"2,075","1,125",450,205,115,180,"2,291","1,410",241,"1,280"
,13645,,45,35,5,5,0,0,61,46,7,40
,13646,,590,390,95,40,25,40,655,476,44,420
,13647,,165,140,10,5,5,5,225,196,7,140
,13649,,40,30,5,5,0,0,55,42,3,30
,13652,,475,260,105,40,25,45,497,312,44,285
,13654,,495,320,90,40,15,30,567,394,45,330
,13658,,570,345,110,40,25,50,652,441,44,350
,13660,,405,250,75,30,20,30,444,300,33,260
,13662,,"4,295","2,550",810,420,220,295,"5,184","3,410",529,"2,815"
,13664,,175,125,25,10,5,10,232,178,15,125
,13666,,55,30,10,10,0,5,69,40,13,40
,13667,,805,435,170,75,55,70,913,561,92,485
,13668,,770,505,115,70,40,40,943,668,89,540
,13669,,"4,055","2,350",870,285,120,430,"4,602","3,013",310,"2,525"
,13670,,130,70,35,5,10,10,150,89,11,80
,13672,,240,180,30,15,10,5,307,240,19,185
,13676,,"2,225","1,460",340,175,110,140,"2,712","1,970",216,"1,585"
,13677,,20,15,5,0,0,0,22,15,0,10
,13678,,125,70,25,10,10,10,143,92,11,70
,13680,,220,135,40,15,5,25,238,165,16,140
,13681,,200,105,40,25,10,20,220,133,24,120
,13683,,140,75,20,30,10,5,151,80,35,105
,13684,,300,180,65,20,15,20,349,228,27,190
,13687,,175,125,20,15,10,5,218,169,15,135
,13690,,325,190,70,25,15,25,399,262,31,210
,13694,,515,335,85,45,25,25,656,458,55,360
,13695,,35,30,0,5,0,0,47,40,2,25
,13696,,50,35,5,5,5,0,63,50,3,40
,13697,,525,325,85,55,30,30,638,428,67,350
Olean,,,"30,505","19,810","5,260","2,040","1,080","2,315","35,638","25,568","2,454","20,830"
,14029,,15,10,5,0,0,0,23,13,0,10
,14041,,65,30,15,5,0,15,70,39,4,30
,14042,,955,555,220,65,40,75,"1,091",724,76,570
,14060,,115,80,15,5,10,5,134,101,5,80
,14065,,410,245,85,20,15,45,456,310,24,255
,14070,,"1,325",865,235,80,35,110,"1,556","1,111",99,910
,14101,,520,350,80,40,15,35,602,448,46,365
,14129,,340,225,55,15,15,30,400,292,17,225
,14133,,45,25,10,5,0,5,48,33,4,30
,14138,,455,305,80,25,20,25,555,404,31,320
,14168,,90,60,15,10,0,5,110,75,15,60
,14171,,500,360,70,30,15,25,627,481,39,365
,14173,,145,95,30,10,0,10,181,126,14,105
,14706,,"1,510","1,080",190,100,45,95,"1,914","1,479",131,"1,120"
,14707,,65,35,15,5,5,5,68,46,3,40
,14708,,40,25,10,0,0,5,46,32,0,25
,14709,,415,280,65,25,25,20,481,346,33,300
,14711,,385,265,60,20,20,20,432,323,26,280
,14714,,95,70,20,0,0,5,120,92,0,65
,14715,,690,405,145,55,25,60,767,510,58,435
,14717,,215,150,35,20,5,5,270,195,24,155
,14719,,820,535,135,50,40,60,"1,004",714,60,565
,14721,,75,35,20,5,0,15,81,47,7,40
,14726,,210,130,50,15,5,10,237,158,13,140
,14727,,"1,410",950,215,90,55,100,"1,696","1,249",119,995
,14729,,165,105,30,10,10,10,193,132,13,110
,14730,,20,15,0,0,5,0,26,20,0,20
,14731,,405,340,25,20,10,10,565,490,26,330
,14735,,555,360,95,25,35,40,608,445,27,390
,14737,,"1,025",650,190,65,40,80,"1,199",845,76,670
,14739,,750,440,160,50,15,85,815,552,50,450
,14741,,470,330,70,25,25,20,536,408,29,335
,14743,,490,295,105,35,20,35,575,389,39,315
,14744,,260,200,25,10,15,10,316,260,13,220
,14745,,30,20,5,5,0,0,34,22,3,20
,14748,,170,110,30,5,5,20,192,138,6,110
,14751,,15,10,5,0,0,0,18,15,0,10
,14753,,310,195,65,25,10,15,358,242,25,210
,14754,,165,110,30,10,5,10,194,143,14,115
,14755,,640,435,105,45,20,35,744,540,51,445
,14760,,"4,670","2,875",940,295,125,435,"5,388","3,755",355,"2,985"
,14766,,25,15,5,5,0,0,27,20,2,15
,14770,,700,470,110,50,25,45,842,619,62,490
,14772,,910,585,140,65,50,70,"1,056",751,80,650
,14774,,55,30,10,10,0,5,62,38,9,40
,14777,,210,150,30,10,10,10,264,196,15,155
,14778,,165,165,0,0,0,0,112,112,0,165
,14779,,"1,670",970,340,155,40,165,"1,799","1,190",174,"1,055"
,14783,,90,50,20,10,5,5,97,61,8,60
,14786,,50,30,10,0,5,5,57,41,0,35
,14788,,80,50,20,5,0,5,95,57,10,55
,14802,,150,125,10,5,5,5,220,187,9,130
,14803,,225,165,20,15,15,10,288,230,19,170
,14804,,355,255,45,25,5,25,435,330,33,240
,14806,,510,355,75,35,20,25,603,453,45,380
,14813,,665,435,100,50,25,55,733,538,57,470
,14822,,280,175,55,20,10,20,320,220,22,185
,14880,,395,255,60,30,20,30,453,321,35,275
,14884,,75,50,15,5,0,5,100,75,4,50
,14895,,"2,635","1,685",415,215,100,220,"3,103","2,209",272,"1,830"
,14897,,210,140,25,10,15,20,242,176,14,160
Oneonta,,,"26,535","18,300","3,720","1,675",945,"1,895","32,023","23,988","2,027","19,335"
,12064,,120,85,15,5,5,10,137,103,9,90
,12116,,505,350,80,30,10,35,598,462,31,345
,12155,,445,305,70,20,15,35,522,386,24,310
,12167,,810,575,100,75,30,30,"1,002",757,83,625
,12197,,615,420,95,45,15,40,746,543,50,445
,12406,,205,145,30,20,5,5,222,168,19,155
,12421,,125,105,10,0,5,5,178,155,0,105
,12430,,275,210,25,10,15,15,349,285,18,225
,12434,,225,155,30,15,10,15,260,200,19,165
,12438,,65,50,10,5,0,0,93,70,7,50
,12455,,590,435,60,40,30,25,723,564,52,480
,12459,,75,55,5,10,0,5,94,76,9,60
,12474,,375,280,40,25,15,15,463,366,37,290
,13315,,340,225,50,20,15,30,401,283,23,240
,13320,,465,330,50,30,25,30,541,414,34,355
,13326,,"1,450","1,110",130,80,45,85,"1,903","1,563",102,"1,170"
,13333,,30,25,0,0,5,0,34,29,0,30
,13335,,420,255,50,10,15,90,472,317,15,260
,13337,,215,175,10,15,5,10,277,232,18,175
,13342,,45,35,5,0,0,5,46,41,0,35
,13348,,310,205,55,20,10,20,368,265,20,210
,13415,,25,10,10,0,0,5,24,10,0,10
,13439,,"1,075",765,125,75,45,65,"1,244",952,89,815
,13450,,50,35,5,5,5,0,57,44,5,40
,13457,,60,40,15,5,0,0,66,41,6,40
,13468,,140,110,5,10,10,5,173,145,12,120
,13482,,15,10,5,0,0,0,18,11,0,10
,13485,,255,160,45,15,5,30,273,195,13,165
,13488,,70,50,5,5,5,5,89,69,6,55
,13731,,380,285,45,20,15,15,494,393,25,285
,13739,,230,170,30,10,10,10,271,211,15,185
,13740,,140,110,10,10,5,5,183,147,16,110
,13747,,40,30,5,5,0,0,52,42,4,35
,13750,,285,190,50,15,15,15,338,244,17,205
,13751,,85,55,20,10,0,0,100,69,10,60
,13752,,200,150,30,10,5,5,259,197,12,160
,13753,,"1,090",780,130,70,40,70,"1,318","1,024",79,820
,13755,,365,255,50,30,10,20,450,324,37,270
,13756,,190,120,30,10,10,20,225,157,12,120
,13757,,235,170,35,15,5,10,284,216,16,170
,13774,,70,45,10,0,5,10,79,58,0,45
,13775,,440,315,55,30,20,20,555,417,39,340
,13776,,245,185,15,15,10,20,300,249,15,185
,13782,,220,160,25,15,10,10,268,206,13,170
,13783,,695,460,115,60,20,40,829,584,71,480
,13786,,125,90,20,0,5,10,146,109,0,90
,13788,,330,210,40,15,15,50,383,279,20,225
,13796,,320,225,50,20,5,20,386,292,26,230
,13804,,115,75,15,10,5,10,143,107,11,85
,13806,,65,45,15,5,0,0,75,56,4,50
,13807,,315,220,50,20,10,15,374,275,27,225
,13808,,480,320,75,30,15,40,578,426,38,335
,13810,,280,185,40,20,20,15,320,236,20,200
,13820,,"4,165","2,810",605,265,120,365,"5,087","3,766",333,"2,985"
,13825,,845,545,140,50,35,75,988,706,66,580
,13834,,55,35,10,5,0,5,61,43,4,35
,13838,,"1,150",715,205,80,50,100,"1,365",975,93,785
,13839,,385,240,65,20,20,40,436,299,27,265
,13842,,125,95,15,5,5,5,147,125,4,95
,13846,,95,65,10,5,5,10,116,86,8,70
,13847,,45,35,5,5,0,0,56,46,2,35
,13849,,"1,250",825,215,85,45,80,"1,509","1,085",102,885
,13856,,"1,850","1,195",325,110,60,160,"2,183","1,564",133,"1,265"
,13859,,55,40,5,5,0,5,64,48,7,40
,13860,,30,25,5,0,0,0,38,31,0,25
,13861,,150,115,20,5,5,5,190,150,7,115
Oswego,,,"30,345","18,785","5,850","2,060","1,125","2,525","37,340","25,723","2,626","19,830"
,13028,,345,205,75,15,15,35,423,281,21,215
,13036,,"2,085","1,345",390,125,60,165,"2,587","1,820",161,"1,400"
,13042,,595,370,120,40,20,45,725,484,52,390
,13044,,610,375,125,35,25,50,772,515,46,385
,13064,,145,115,15,5,10,0,196,164,7,120
,13069,,"5,635","3,300","1,190",370,205,570,"6,786","4,519",455,"3,525"
,13074,,930,575,200,45,30,80,"1,135",789,57,585
,13076,,475,285,95,25,25,45,576,382,34,310
,13083,,380,220,75,25,15,45,430,289,27,240
,13093,,40,30,5,0,5,0,59,48,0,30
,13103,,80,45,25,5,0,5,92,56,4,45
,13111,,350,210,85,15,10,30,397,267,14,200
,13114,,"1,585",945,320,130,40,150,"1,903","1,286",154,985
,13115,,90,65,15,5,0,5,132,98,8,65
,13121,,80,50,15,5,5,5,102,76,8,60
,13126,,"7,185","4,510","1,275",570,315,515,"9,126","6,353",744,"4,890"
,13131,,865,515,180,60,25,85,"1,054",693,81,535
,13132,,870,560,160,65,20,65,"1,118",797,81,580
,13135,,"1,405",880,275,85,60,105,"1,775","1,218",124,920
,13142,,"1,625","1,040",260,125,65,135,"2,005","1,402",164,"1,105"
,13143,,605,370,105,40,25,65,696,493,46,390
,13144,,335,180,75,25,20,35,362,221,34,185
,13145,,545,350,90,40,20,45,656,471,47,365
,13156,,460,320,65,30,20,25,592,435,42,325
,13167,,725,495,125,30,35,40,926,689,38,520
,13302,,350,170,105,25,10,40,390,216,30,190
,13426,,55,30,15,5,0,5,60,39,5,30
,13437,,130,95,15,10,5,5,165,125,14,105
,13493,,405,245,100,30,5,25,473,311,36,245
,14590,,"1,360",890,255,75,35,105,"1,627","1,186",88,890
Patchogue,,,"139,600","92,085","21,455","9,265","5,605","11,190","195,906","140,767","13,271","100,710"
,11705,,"1,515","1,040",210,90,75,100,"2,288","1,707",138,"1,130"
,11706,,"9,925","6,090","1,935",665,385,850,"12,851","8,740",887,"6,665"
,11713,,"1,810","1,120",335,100,65,190,"2,484","1,755",130,"1,185"
,11715,,935,695,105,50,35,50,"1,437","1,125",74,735
,11716,,"2,470","1,460",375,135,80,420,"3,469","2,281",207,"1,625"
,11718,,585,415,60,40,25,45,944,718,71,445
,11719,,940,620,135,85,30,70,"1,263",909,106,700
,11720,,"5,105","3,310",830,355,220,390,"7,200","5,052",525,"3,665"
,11722,,"5,030","3,005","1,095",270,165,495,"5,991","4,041",333,"3,190"
,11727,,"5,670","3,860",855,360,215,380,"8,015","5,892",526,"4,215"
,11730,,"2,590","1,745",360,180,105,200,"3,729","2,682",269,"1,905"
,11733,,"3,525","2,730",220,205,200,170,"5,778","4,781",316,"2,990"
,11738,,"2,735","1,685",485,175,125,265,"3,751","2,538",247,"1,845"
,11739,,295,220,20,20,20,15,472,367,31,245
,11741,,"5,610","3,855",790,345,230,390,"8,160","6,030",518,"4,110"
,11742,,"2,275","1,440",380,180,100,175,"3,250","2,199",258,"1,630"
,11749,,580,380,95,45,25,35,834,599,63,430
,11751,,"2,695","1,810",390,215,95,185,"3,974","2,855",322,"2,015"
,11752,,"1,860","1,225",280,140,80,135,"2,639","1,843",211,"1,355"
,11755,,"2,470","1,745",295,145,115,170,"3,642","2,765",224,"1,910"
,11763,,"5,710","3,675",960,395,250,430,"7,746","5,442",529,"4,040"
,11764,,"2,270","1,625",250,140,100,155,"3,479","2,651",219,"1,715"
,11766,,"2,840","2,180",240,170,130,120,"4,394","3,507",262,"2,355"
,11767,,"2,720","1,935",280,200,125,180,"4,095","3,096",307,"2,145"
,11769,,"2,595","1,880",260,225,100,130,"3,847","2,937",321,"2,110"
,11770,,80,70,0,0,5,5,115,98,0,70
,11772,,"8,405","5,430","1,505",610,280,580,"11,236","7,853",846,"5,895"
,11776,,"5,120","3,345",755,325,185,510,"7,004","5,024",454,"3,670"
,11777,,"2,115","1,580",195,135,95,110,"3,342","2,677",215,"1,740"
,11778,,"1,965","1,225",355,120,70,195,"2,756","1,880",177,"1,325"
,11779,,"7,535","4,800","1,295",545,305,590,"10,352","7,122",758,"5,325"
,11780,,"3,375","2,475",300,245,175,180,"5,220","4,062",372,"2,780"
,11782,,"3,330","2,380",355,265,130,200,"5,017","3,792",399,"2,635"
,11784,,"4,365","2,670",810,325,165,395,"5,778","3,865",447,"2,960"
,11786,,"1,130",785,140,55,55,95,"1,750","1,304",93,840
,11788,,"4,075","2,475",510,205,180,705,"5,722","3,977",305,"2,775"
,11789,,"1,220",740,260,60,35,125,"1,675","1,101",84,745
,11790,,"2,990","2,325",195,195,160,115,"4,826","3,959",291,"2,570"
,11796,,695,470,100,45,25,55,996,733,64,505
,11950,,"2,465","1,250",625,150,85,355,"2,932","1,724",189,"1,315"
,11951,,"2,390","1,190",650,160,80,310,"2,865","1,629",204,"1,280"
,11953,,"3,055","2,065",470,210,95,215,"4,209","3,066",312,"2,240"
,11955,,955,695,135,45,35,45,"1,386","1,083",66,745
,11961,,"4,540","3,445",430,350,165,150,"6,438","5,080",514,"3,815"
,11967,,"4,220","2,375",990,245,160,450,"5,349","3,354",314,"2,540"
,11980,,820,550,140,45,25,60,"1,206",872,69,585
Peekskill,,,"40,585","30,710","3,550","2,385","1,755","2,185","61,997","49,766","3,652","33,300"
,10501,,245,190,15,10,15,15,391,322,16,210
,10505,,265,190,35,20,10,10,369,280,25,210
,10506,,945,750,30,45,80,40,"1,635","1,384",78,845
,10507,,840,635,55,60,45,45,"1,282","1,017",95,700
,10511,,400,295,45,20,15,25,577,443,31,305
,10514,,"1,385","1,055",55,85,120,70,"2,457","2,001",150,"1,230"
,10517,,165,125,15,10,0,15,239,201,11,130
,10518,,205,160,15,10,10,10,351,283,20,170
,10519,,110,85,10,10,0,5,172,138,16,90
,10520,,"2,605","2,040",195,160,110,100,"4,111","3,380",242,"2,230"
,10521,,25,20,5,0,0,0,34,27,0,20
,10526,,305,250,20,15,10,10,503,431,26,270
,10527,,185,140,10,5,15,15,300,252,6,155
,10535,,125,80,20,10,5,10,175,119,14,85
,10536,,"1,625","1,250",80,105,110,80,"2,688","2,204",170,"1,400"
,10540,,140,115,5,10,0,10,223,185,15,115
,10545,,600,600,0,0,0,0,321,318,0,585
,10546,,220,180,5,10,15,10,394,331,22,200
,10547,,"1,270",815,245,70,40,100,"1,753","1,211",99,850
,10548,,720,510,120,35,15,40,"1,007",753,51,535
,10549,,"2,820","2,005",270,160,135,250,"4,224","3,304",252,"2,220"
,10560,,820,605,45,40,45,85,"1,307","1,044",67,660
,10562,,"4,690","3,550",450,280,190,220,"7,043","5,696",406,"3,835"
,10566,,"4,030","2,740",670,255,100,265,"5,359","3,962",327,"2,895"
,10567,,"3,335","2,465",340,215,125,190,"5,105","3,982",318,"2,640"
,10576,,935,765,25,45,65,35,"1,662","1,434",75,840
,10578,,235,175,15,30,5,10,337,261,44,205
,10587,,160,115,15,15,10,5,241,185,25,130
,10588,,550,420,55,30,20,25,842,664,48,435
,10589,,"3,310","2,825",110,190,110,75,"5,437","4,751",327,"3,080"
,10590,,"1,080",820,75,60,60,65,"1,764","1,434",89,895
,10596,,365,225,65,25,10,40,516,350,38,245
,10597,,160,125,5,10,10,10,289,239,19,135
,10598,,"5,715","4,390",430,340,255,300,"8,889","7,180",527,"4,750"
Plattsburgh,,,"37,785","23,570","7,145","2,655","1,380","3,035","44,243","30,467","3,166","25,060"
,12855,,70,45,15,5,0,5,90,59,3,45
,12901,,"7,455","4,465","1,615",600,245,530,"8,792","5,968",716,"4,855"
,12903,,560,360,55,30,10,105,716,521,50,395
,12910,,445,225,115,40,20,45,473,265,41,255
,12912,,535,355,105,35,15,25,627,441,44,360
,12913,,245,165,40,25,5,10,296,207,26,170
,12914,,215,140,30,15,10,20,219,153,19,150
,12915,,45,30,5,5,0,5,51,37,5,25
,12916,,545,315,125,35,25,45,617,394,42,330
,12917,,310,190,65,20,15,20,338,218,20,195
,12918,,585,365,120,50,25,25,738,482,64,385
,12919,,870,485,175,70,50,90,971,628,78,540
,12920,,590,380,90,45,35,40,657,468,57,420
,12921,,490,340,85,35,15,15,619,462,46,365
,12923,,150,85,40,10,10,5,154,102,6,90
,12924,,35,20,10,5,0,0,42,23,4,20
,12926,,540,295,140,50,25,30,601,353,55,330
,12929,,295,155,70,20,10,40,357,215,27,160
,12930,,170,120,20,10,10,10,187,142,10,125
,12932,,425,300,60,35,10,20,512,381,43,315
,12933,,15,10,5,0,0,0,16,10,0,5
,12934,,265,170,55,15,10,15,292,205,15,175
,12935,,400,230,90,25,15,40,454,293,27,235
,12936,,190,140,15,15,5,15,256,204,15,145
,12937,,405,255,80,30,15,25,466,317,41,285
,12939,,35,25,5,0,0,5,45,32,0,25
,12941,,340,260,40,15,10,15,425,336,16,255
,12942,,160,125,10,15,5,5,210,172,15,130
,12943,,135,105,10,10,5,5,186,150,10,115
,12944,,"1,125",680,255,70,30,90,"1,277",857,77,720
,12945,,175,140,15,5,10,5,221,183,9,135
,12946,,"1,220",920,150,75,25,50,"1,559","1,237",103,950
,12950,,210,125,45,15,10,15,238,161,12,145
,12952,,195,125,40,10,10,10,239,172,12,135
,12953,,"3,120","1,885",610,235,95,295,"3,444","2,303",262,"2,020"
,12955,,105,65,25,10,0,5,130,77,13,70
,12956,,320,180,75,20,10,35,368,231,25,180
,12957,,405,240,100,25,15,25,457,294,33,265
