"ID","Position","Company","City","State","Skills","Type","Salary"
38.0,"Product Analytics Lead, Data Science","Google","San Bruno","CA","Scalability","Base Salary","140000"
39.0,"Data Scientist","Microsoft","Bellevue","WA","Hadoop","Base Salary","147000"
40.0,"Data Scientist","Coupang","Palo Alto","CA","Hadoop","Base Salary","120000"
41.0,"Data Scientist, Population and Survey Sciences","Facebook","Menlo Park","CA","Data Mining","Base Salary","141000"
42.0,"Sr. Data Scientist","Microsoft","Redmond","WA","Big Data","Base Salary","162000"
43.0,"Sr. Data Scientist","Microsoft","Redmond","WA","Big Data","Base Salary","162000"
44.0,"Research Lead / Data Scientist","Spotify","New York","NY","Hadoop","Base Salary","163000"
45.0,"Senior Data Scientist","","Redmond","WA","Optimization","Base Salary","162000"
46.0,"Data Scientist, Infrastructure","Facebook","Menlo Park","CA","Hadoop","Base Salary","145000"
47.0,"Data Science Program Manager","Microsoft","Redmond","WA","Hadoop","Base Salary","131000"
48.0,"Data Scientist- Consumer Insights","Facebook","Menlo Park","CA","Hadoop","Base Salary","133000"
49.0,"Lead Data Scientist","Target","Sunnyvale","CA","Hadoop","Base Salary","160000"
50.0,"Data Scientist","Dropbox","San Francisco","CA","Big Data","Base Salary","137000"
51.0,"Data Visualization Scientist","Facebook","Menlo Park","CA","ETL","Base Salary","141000"
52.0,"Data Scientist","Facebook","Menlo Park","CA","ETL","Base Salary","141000"
53.0,"Software Engineer II- Data Science","Microsoft","Redmond","WA","Hadoop","Base Salary","147000"
54.0,"Data Scientist II","Microsoft","Redmond","WA","Machine Learning","Base Salary","147000"
55.0,"DATA SCIENTIST II","Microsoft","Bellevue","WA","Data Mining","Base Salary","146000"
56.0,"Data Scientist","Dropbox","San Francisco","CA","Big Data","Base Salary","137000"
57.0,"Principal Data Scientist","RichRelevance","San Francisco","CA","Algorithms","Base Salary","166000"
58.0,"Senior Software Engineer - Data Infrastructure","Rocket Fuel","Redwood City","CA","Hadoop","Base Salary","145000"
59.0,"Senior Software Engineer - Data Infrastructure","Rocket Fuel","Redwood City","CA","Hadoop","Base Salary","145000"
60.0,"Principal Distinguished Data Scientist","Ancestry","San Francisco","CA","Hadoop","Base Salary","146000"
61.0,"Data Science Manager: Anomaly Detection and Forecasting Platform","Uber","San Francisco","CA","Algorithms","Base Salary","125000"
62.0,"Data Science Manager - Seattle","Uber","Seattle","WA","Machine Learning","Base Salary","125000"
63.0,"Senior Data Scientist","Microsoft","Redmond","WA","Hadoop","Base Salary","161000"
64.0,"Manager, Data Science","Amazon","Cambridge","MA","Algorithms","Base Salary","146000"
65.0,"Data Scientist","Microsoft","Redmond","WA","Hadoop","Base Salary","147000"
66.0,"Lead Data Scientist","Target","Sunnyvale","CA","Hadoop","Base Salary","160000"
67.0,"Senior Data Scientist","Amazon","Seattle","WA","Hadoop","Base Salary","138000"
68.0,"Senior Data Scientist","Amazon","Seattle","WA","Distributed Systems","Base Salary","138000"
69.0,"Senior Principal Data Scientist","Symantec","Mountain View","CA","Hadoop","Base Salary","164000"
70.0,"Sr. Data Scientist, Amazon Fresh","Amazon","Seattle","WA","Data Mining","Base Salary","137000"
71.0,"DATA SCIENCE MANAGER - GLOBAL GROWTH","Uber","San Francisco","CA","Data Science","Base Salary","126000"
72.0,"Senior Product Designer, Data Science Group","Uber","San Francisco","CA","Machine Learning","Base Salary","147000"
73.0,"Principal Data Scientist","WalmartLabs","San Bruno","CA","Hadoop","Base Salary","169000"
74.0,"Senior Software Engineer, Data Infrastructure","Rocket Fuel","Redwood City","CA","Distributed Systems","Base Salary","146000"
75.0,"Senior Data Scientist - Payment Products","Amazon","Seattle","WA","Data Mining","Base Salary","138000"
76.0,"Sr. Data Scientist, Retail Selection","Amazon","Seattle","WA","Big Data","Base Salary","138000"
77.0,"Senior Data Scientist -Universal...","Apple","Cupertino","CA","Algorithms","Base Salary","150000"
78.0,"Sr. Data Scientist, Advertising Analytics","Amazon","Seattle","WA","Big Data","Base Salary","125000"
79.0,"Senior Software Engineer - Data...","Rocket Fuel","Seattle","WA","Hadoop","Base Salary","140000"
80.0,"Principal Data Scientist","Move, Inc.","Santa Clara","CA","Product Management","Base Salary","160000"
81.0,"Data Scientist, Auction & Delivery","Facebook","Menlo Park","CA","Optimization Data Science","Base Salary","141000"
82.0,"Senior Data Scientist","Microsoft","Redmond","WA","Machine Learning","Base Salary","162000"
83.0,"Principal Data Scientist","WalmartLabs","San Bruno","CA","Hadoop","Base Salary","169000"
84.0,"Principal Data Scientist","WalmartLabs","San Bruno","CA","Hadoop","Base Salary","169000"
85.0,"Principal Data Scientist","TripAdvisor","Needham","MA","Optimization","Base Salary","159000"
86.0,"Sr. Manager, Data Science","Electronic Arts","Redwood City","CA","Hadoop","Base Salary","162000"
87.0,"Data Scientist","Amazon","San Francisco","CA","Distributed Systems","Base Salary","125000"
88.0,"Data Scientist","Cloudera","San Francisco","CA","Hadoop","Base Salary","133000"
89.0,"Staff Data Scientist","Chegg","Santa Clara","CA","Hadoop","Base Salary","139000"
90.0,"Senior Software Engineer, Data","Square","San Francisco","CA","Distributed Systems","Base Salary","145000"
91.0,"Data Scientist - Uber for Business","Uber","San Francisco","CA","Optimization","Base Salary","138000"
92.0,"Director of Bidding & Data Science (Machine Learning)","Marin Software","San Francisco","CA","Hadoop","Base Salary","173000"
93.0,"Data Scientist II","Microsoft","Redmond","WA","Hadoop","Base Salary","146000"
94.0,"Senior Data Scientist, Text Mining","Groupon","Palo Alto","CA","Algorithms","Base Salary","147000"
95.0,"Data Scientist - Community Operations","Uber","San Francisco","CA","Management","Base Salary","137000"
96.0,"Data Scientist II - Payment Products","Amazon","Seattle","WA","Data Mining","Base Salary","125000"
97.0,"Data Scientist","Salesforce","Bellevue","WA","Hadoop","Base Salary","132000"
98.0,"People Data Analyst","Dropbox","San Francisco","CA","Python","Base Salary","115000"
99.0,"Sr. Data Science Engineer","Adobe","San Jose","CA","Product Management","Base Salary","143000"
100.0,"Senior Software Development Engineer - Data Ingestion Standardization Services","Amazon","Seattle","WA","Distributed Systems","Base Salary","127000"
101.0,"Policy Data Scientist","Uber","San Francisco","CA","Python","Base Salary","138000"
102.0,"Data Scientist","Pinterest","San Francisco","CA","Hadoop","Base Salary","134000"
103.0,"Principal Software Architect - Data Science & ML","GE","San Ramon","CA","Optimization","Base Salary","174000"
104.0,"Principal Software Architect - Data Science & ML","GE","San Ramon","CA","Optimization","Base Salary","174000"
105.0,"Data Scientist, Global Patents","Google","San Francisco","CA","Algorithms","Base Salary","120000"
106.0,"Sr. Data Scientist","Amazon","Seattle","WA","Product Management","Base Salary","137000"
107.0,"Principal Data Scientist","Verizon","Palo Alto","CA","Hadoop","Base Salary","168000"
108.0,"Sr Data Scientist","Tmobile","Bellevue","WA","Data Mining","Base Salary","128000"
109.0,"Software Development Mgr - Advertising Analytics and Data Science","Amazon","Seattle","WA","Hadoop","Base Salary","114000"
110.0,"Senior Manager, Data Science","Autodesk","San Francisco","CA","Product Management","Base Salary","136000"
111.0,"Director of Data Science","FireEye","San Francisco","CA","Hadoop","Base Salary","183000"
112.0,"Data Scientist, State Street Global Exchange, Vice President","State Street Corporation","New York","NY","Distributed Systems","Base Salary","195000"
113.0,"Lead Data Scientist","Activision","Santa Monica","CA","Game Development","Base Salary","134000"
114.0,"Data Scientist","Google","Mountain View","CA","Data Mining","Base Salary","120000"
115.0,"Data Scientist","Groupon","Palo Alto","CA","Big Data","Base Salary","133000"
116.0,"Senior Software Engineer, Data Science","Marin Software","San Francisco","CA","Distributed Systems","Base Salary","133000"
117.0,"Data Scientist - HIT","Amazon","Seattle","WA","Data Mining","Base Salary","124000"
118.0,"Principal Data Scientist","Lending Club","San Francisco","CA","Big Data","Base Salary","159000"
119.0,"Senior Data Scientist","Square","San Francisco","CA","Machine Learning","Base Salary","146000"
120.0,"Senior Data Scientist","Square","San Francisco","CA","Machine Learning","Base Salary","146000"
121.0,"Corporate - Firmwide Forecasting & Analysis - Data Scientist/Engineer, Vice President","JPMorgan Chase","New York","NY","Hadoop","Base Salary","196000"
122.0,"Data Science Engineer","Salesforce","San Francisco","CA","Distributed Systems","Base Salary","132000"
123.0,"Sr Spatial Data Scientist - Apple...","Apple","Cupertino","CA","Machine Learning","Base Salary","148000"
124.0,"Data Scientist, Search Efficiency","Amazon","Palo Alto","CA","Distributed Systems","Base Salary","125000"
125.0,"Principal Data Scientist","Nordstrom","Seattle","WA","Hadoop","Base Salary","149000"
126.0,"Principal Data Scientist","Nordstrom","Seattle","WA","Hadoop","Base Salary","149000"
127.0,"Data Scientist II","Expedia","Bellevue","WA","Data Mining","Base Salary","125000"
128.0,"Sr Data Scientist","Tmobile","Bellevue","WA","Hadoop","Base Salary","128000"
129.0,"Data Scientist","Amazon","Seattle","WA","Big Data","Base Salary","124000"
130.0,"Senior Data Scientist","Adobe","San Jose","CA","Product Management","Base Salary","144000"
131.0,"Legal- Firmwide Initiatives Team OLO Data Scientist- VP","JPMorgan Chase","New York","NY","Information Retrieval","Base Salary","195000"
132.0,"Sr. Data Scientist","Amazon","Seattle","WA","Data Mining","Base Salary","138000"
133.0,"Lead Data Scientist","Activision","Boulder","CO","Game Development","Base Salary","129000"
134.0,"Senior Software Engineer, Data Services","Quantcast","San Francisco","CA","Big Data","Base Salary","127000"
135.0,"ITSM Data Scientist","Servicenow - The Enterprise It Cloud Company","Santa Clara","CA","Product Management","Base Salary","128000"
136.0,"Data Science Engineer","Castlight Health","San Francisco","CA","Scalability","Base Salary","116000"
137.0,"Data Science Engineer","Castlight Health","San Francisco","CA","Scalability","Base Salary","116000"
138.0,"Senior Data Scientist","Intuit","Mountain View","CA","Product Management","Base Salary","131000"
139.0,"Senior Software Engineer - Data Collection and Processing","Akamai Technologies","Cambridge","MA","Distributed Systems","Base Salary","118000"
140.0,"Data Scientist","Smule","San Francisco","CA","Hadoop","Base Salary","114000"
141.0,"Chief Data Scientist, Brilliant Manufacturing Job","GE","Seattle","WA","Product Management","Base Salary","199000"
142.0,"Lead Data Scientist","Yodle","New York","NY","C++","Base Salary","142000"
143.0,"Lead Data Scientist","Yodle","New York","NY","C++","Base Salary","142000"
144.0,"Senior Data Scientist","Akamai Technologies","Santa Clara","CA","Hadoop","Base Salary","127000"
145.0,"Senior Data Scientist","Zillow","Seattle","WA","Big Data","Base Salary","139000"
146.0,"Data Scientist","Credit Karma","San Francisco","CA","Product Management","Base Salary","129000"
147.0,"Senior Data Scientist","TripAdvisor","Needham","MA","Optimization","Base Salary","129000"
148.0,"Senior Data Scientist Job","SAP","San Francisco","CA","Hadoop","Base Salary","129000"
149.0,"Senior Data Scientist","SAP","San Francisco","CA","Hadoop","Base Salary","129000"
150.0,"Principal Data Scientist - 39251BR","Aetna","Wellesley","MA","Hadoop","Base Salary","138000"
151.0,"Legal- Firmwide Initiatives Team OLO Data Scientist- VP","JPMorgan Chase","New York","NY","Data Mining","Base Salary","195000"
152.0,"Data Scientist (All Levels)","Lyft","San Francisco","CA","Optimization","Base Salary","144000"
153.0,"Data Scientist (All Levels) (Seattle)","Lyft","Seattle","WA","Optimization","Base Salary","144000"
154.0,"Sr. Data Software Engineer","Castlight Health","San Jose","CA","Distributed Systems","Base Salary","130000"
155.0,"Senior Data Scientist, Search and Local","Trulia","San Francisco","CA","Hadoop","Base Salary","141000"
156.0,"Senior Data Scientist","Quantifind","Menlo Park","CA","Algorithms","Base Salary","121000"
157.0,"Data Scientist","Akamai Technologies","Cambridge","MA","Distributed Systems","Base Salary","107000"
158.0,"Data Scientist, Cash","Square","San Francisco","CA","Machine Learning","Base Salary","132000"
159.0,"Data Scientist","Square","San Francisco","CA","Machine Learning","Base Salary","132000"
160.0,"Data Scientist, Cash","Square","San Francisco","CA","Machine Learning","Base Salary","132000"
161.0,"Director, Data Scientist","Fitbit","San Francisco","CA","Data Mining","Base Salary","182000"
162.0,"Principal Data Scientist","Walmart","San Bruno","CA","Hadoop","Base Salary","149000"
163.0,"Product Manager - Audience Science","eBay","Brisbane","CA","Product Management","Base Salary","138000"
164.0,"Principal Data Scientist - Adaptive Intelligent Applications","Oracle","Redwood Shores","CA","Data Mining","Base Salary","154000"
165.0,"Principal Data Scientist - Adaptive Intelligent Applications","Oracle","Redwood Shores","CA","Data Mining","Base Salary","154000"
166.0,"Data Scientist - Business Operations","Groupon","Palo Alto","CA","Hadoop","Base Salary","132000"
167.0,"Senior Data Scientist - SAP...","SAP","Palo Alto","CA","Algorithms","Base Salary","129000"
168.0,"Data Scientist","WalmartLabs","San Bruno","CA","Hadoop","Base Salary","125000"
169.0,"Data Scientist","WalmartLabs","San Bruno","CA","Hadoop","Base Salary","125000"
170.0,"Senior Software Engineer - Data","ShareThis","Palo Alto","CA","Hadoop","Base Salary","136000"
171.0,"CIB-Rapid Prototyping Data Scientist","","New York","NY","Data Mining","Base Salary","187000"
172.0,"Infrastructure Data Scientist & Strategy Analyst","Facebook","Menlo Park","CA","Python","Base Salary","120000"
173.0,"Sr. Data Scientist","Amazon","Seattle","WA","Product Management","Base Salary","138000"
174.0,"Data Scientist","Amazon","Seattle","WA","Hadoop","Base Salary","125000"
175.0,"Data Scientist","Amazon","Seattle","WA","Hadoop","Base Salary","125000"
176.0,"Senior Data Science Engineer","Lattice Engines","San Mateo","CA","Scalability","Base Salary","132000"
177.0,"Data Analyst","Microsoft","Bellevue","WA","Android","Base Salary","122000"
178.0,"Data Analyst","Microsoft","San Francisco","CA","Android","Base Salary","122000"
179.0,"Senior Manager, Data Science","GE","San Ramon","CA","Hadoop","Base Salary","155000"
180.0,"Sr Data Scientist","Tesla Motors","Fremont","CA","Hadoop","Base Salary","139000"
181.0,"Director, Data Science","FireEye","San Francisco","CA","Technical Leadership","Base Salary","183000"
182.0,"Data Scientist, Assistant Vice President","State Street Corporation","Boston","MA","Big Data","Base Salary","167000"
183.0,"Principal Data Scientist","ASML","San Jose","CA","Scalability","Base Salary","149000"
184.0,"Data Scientist","Yelp","San Francisco","CA","Hadoop","Base Salary","132000"
185.0,"Senior Manager, Data Science","GE","San Ramon","CA","Hadoop","Base Salary","155000"
186.0,"Senior Manager, Data Science","GE","San Ramon","CA","Hadoop","Base Salary","155000"
187.0,"Data Scientist","Intuit","Mountain View","CA","Product Management","Base Salary","119000"
188.0,"Data Scientist","Intuit","Mountain View","CA","Product Management","Base Salary","119000"
189.0,"Data Scientist Job","SAP","Palo Alto","CA","Hadoop","Base Salary","117000"
190.0,"Associate Director, Real World Data Science, Product Development Biometrics, Genentech/Roche","Genentech","South San Francisco","CA","Management","Base Salary","106000"
191.0,"Director of Data Science","Intuit","Mountain View","CA","Technical Leadership","Base Salary","171000"
192.0,"Data Scientist (DIGITS)","NVIDIA","Santa Clara","CA","Algorithms","Base Salary","116000"
193.0,"Senior Software Engineer, Data Infrastructure","Rocket Fuel","South Norwalk","CT","Distributed Systems","Base Salary","130000"
194.0,"Firmware Data Scientist","Fitbit","San Francisco","CA","Data Mining","Base Salary","127000"
195.0,"Principal Data Scientist","GE","San Ramon","CA","Hadoop","Base Salary","153000"
196.0,"Principal Data Scientist","GE","San Ramon","CA","Hadoop","Base Salary","153000"
197.0,"Principal Data Scientist","GE","San Ramon","CA","Hadoop","Base Salary","153000"
198.0,"Sr. Data Scientist","Insidesales.com","San Mateo","CA","Hadoop","Base Salary","140000"
199.0,"Senior Data Scientist","Demandbase","San Francisco","CA","Hadoop","Base Salary","133000"
200.0,"Senior Data Scientist","ZEFR","Venice","CA","Hadoop","Base Salary","127000"
201.0,"Data Scientist","Amazon","Seattle","WA","Hadoop","Base Salary","125000"
202.0,"Senior Software Engineer Financial Data Services","Intuit","Mountain View","CA","Big Data","Base Salary","124000"
203.0,"Senior Software Engineer Data Services Team","Intuit","Mountain View","CA","Big Data","Base Salary","124000"
204.0,"Senior Manager Principal Data Scientist","SapientNitro","Arlington","VA","Optimization","Base Salary","174000"
205.0,"Senior Manager, Principal Data Scientist","SapientNitro","Arlington","VA","Optimization","Base Salary","174000"
206.0,"Data Scientist","","Watertown","MA","Data Mining","Base Salary","118000"
207.0,"Principal Data Scientist - Atlanta, GA","Honeywell","Atlanta","GA","Hadoop","Base Salary","149000"
208.0,"Data Scientist, Autopilot Maps","Tesla Motors","Palo Alto","CA","Hadoop","Base Salary","125000"
209.0,"Senior Data Science Engineer","CDK Global","Seattle","WA","Hadoop","Base Salary","126000"
210.0,"Lead Data Scientist","Aetna","Wellesley","MA","Hadoop","Base Salary","133000"
211.0,"VP, Data Science","Comcast","Philadelphia","PA","Management","Base Salary","190000"
212.0,"Data Scientist - Amazon Advertising Platform","Amazon","Seattle","WA","Data Mining","Base Salary","119000"
213.0,"Senior Data Scientist - Learning Services","Chegg","Santa Clara","CA","Hadoop","Base Salary","130000"
214.0,"Data Scientist","Amazon","Seattle","WA","Hadoop","Base Salary","124000"
215.0,"Senior Manager of Data Science","Oportun","Redwood City","CA","Hadoop","Base Salary","164000"
216.0,"Sr. Data Scientist","Biogen Idec","Cambridge","MA","Hadoop","Base Salary","119000"
217.0,"Senior Data Scientist","Verizon","Palo Alto","CA","Hadoop","Base Salary","136000"
218.0,"Lead Data Scientist","Aetna","Wellesley","MA","Hadoop","Base Salary","133000"
219.0,"Data Scientist II","MediaMath","New York","NY","Scalability","Base Salary","112000"
220.0,"Data Scientist","MeetMe","San Francisco","CA","Scalability","Base Salary","109000"
221.0,"Director, Data Science","TrueCar","Santa Monica","CA","Optimization","Base Salary","178000"
222.0,"Data Scientist - Payment Experience","Amazon","Seattle","WA","Data Mining","Base Salary","125000"
223.0,"Clinical Scientist/Clinical Trial Manager","CytomX Therapeutics","San Francisco","CA","Strategy","Base Salary","133000"
224.0,"Senior Data Scientist","Chegg","Santa Clara","CA","Hadoop","Base Salary","135000"
225.0,"Senior Data Scientist","Chegg","Santa Clara","CA","Hadoop","Base Salary","135000"
226.0,"Senior Data Scientist","Chegg","Santa Clara","CA","Hadoop","Base Salary","135000"
227.0,"Data Scientist","Intuit","Mountain View","CA","Product Management","Base Salary","119000"
228.0,"Data Scientist","Eventbrite","San Francisco","CA","Data Mining","Base Salary","124000"
229.0,"Software Engineer, Data Science Team","Castlight Health","San Francisco","CA","Scalability","Base Salary","115000"
230.0,"Data Scientist","Cisco Systems","San Jose","CA","Distributed Systems","Base Salary","119000"
231.0,"Clinical Scientist/Clinical Trial Manager","Cytomx Therapeutics","San Francisco","CA","Strategy","Base Salary","133000"
232.0,"Data Scientist","Amazon","Cambridge","MA","Machine Learning","Base Salary","116000"
233.0,"Data Scientist","Amazon","Cambridge","MA","Machine Learning","Base Salary","116000"
234.0,"Senior Data Scientist","Lenovo","San Jose","CA","Hadoop","Base Salary","129000"
235.0,"Data Scientist","Adobe","San Jose","CA","Hadoop","Base Salary","130000"
236.0,"Data Scientist","Adobe","San Jose","CA","Data Mining","Base Salary","131000"
237.0,"Lead Data Scientist","Aetna","Wellesley","MA","Algorithms","Base Salary","133000"
238.0,"Senior Data Scientist","Activision","Boulder","CO","Game Development","Base Salary","111000"
239.0,"Data Scientist","Activision","Santa Monica","CA","Game Development","Base Salary","104000"
240.0,"Data Scientist","Cisco Systems","San Jose","CA","Product Management","Base Salary","118000"
241.0,"Chief Data Scientist","Huawei","Santa Clara","CA","Hadoop","Base Salary","191000"
242.0,"Data Scientist","Electronic Arts","Redwood City","CA","Hadoop","Base Salary","116000"
243.0,"Sr Data Scientist","SanDisk","Milpitas","CA","Hadoop","Base Salary","122000"
244.0,"Sr Data Scientist Job","SanDisk","Milpitas","CA","Hadoop","Base Salary","122000"
245.0,"Sr. Data Scientist","Pivotal Labs","Atlanta","GA","Hadoop","Base Salary","117000"
246.0,"Sr Staff Data Scientist","GE","San Ramon","CA","Hadoop","Base Salary","141000"
247.0,"Sr Staff Data Scientist","GE","San Ramon","CA","Hadoop","Base Salary","141000"
248.0,"Principal Data Scientist","Honeywell","Atlanta","GA","Hadoop","Base Salary","148000"
249.0,"Data Scientist","Amazon","New York","NY","Data Mining","Base Salary","110000"
250.0,"Manager/Sr. Manager, Clinical Scientist","","Tarrytown","NY","Search","Base Salary","125000"
251.0,"Principal Software Architect - Data Science & ML","GE FABBRI","San Ramon","CA","Optimization","Base Salary","174000"
252.0,"Chief Data Scientist","Intellipro","Santa Clara","CA","Hadoop","Base Salary","182000"
253.0,"VP of Data Science","Roku","Los Gatos","CA","Optimization","Base Salary","172000"
254.0,"Data Scientist","Amazon","Seattle","WA","Optimization","Base Salary","124000"
255.0,"Senior Software Engineer","","San Francisco","CA","Hadoop","Base Salary","138000"
256.0,"Senior Data Scientist","Walmart","Sunnyvale","CA","Hadoop","Base Salary","121000"
257.0,"Sr Staff Data Scientist - Simulations","GE","San Ramon","CA","Product Management","Base Salary","141000"
258.0,"Sr Staff Data Scientist","","San Ramon","CA","Product Management","Base Salary","141000"
259.0,"Data Scientist","Akamai Technologies","Cambridge","MA","Hadoop","Base Salary","107000"
260.0,"Sr Staff Data Scientist","Seagate Technology","Longmont","CO","Hadoop","Base Salary","127000"
261.0,"Data Scientist","Amazon","Seattle","WA","Optimization","Base Salary","124000"
262.0,"MTS1 - Quality Engineer - Data Science","eBay","San Jose","CA","Scalability","Base Salary","116000"
263.0,"Principal Data Scientist","Aetna","Wellesley","MA","Hadoop","Base Salary","138000"
264.0,"Data Scientist (University Grad)","Electronic Arts","Redwood City","CA","Hadoop","Base Salary","116000"
265.0,"Data Scientist","Intel Corporation","Santa Clara","CA","Hadoop","Base Salary","113000"
266.0,"Data Scientist, Payments","Rocket Lawyer","San Francisco","CA","Hadoop","Base Salary","118000"
267.0,"Senior Manager of Data Science","Progreso Financiero","Redwood City","CA","Hadoop","Base Salary","141000"
268.0,"Senior Data Science Engineer - Data Cloud","Oracle","Vienna","VA","Hadoop","Base Salary","110000"
269.0,"Data Scientist","CA Technologies","Santa Clara","CA","Product Management","Base Salary","110000"
270.0,"Data Scientist - Architect","Synchronoss Technologies","Reston","VA","Data Science","Base Salary","115000"
271.0,"Director, Data Scientist","Fitbit","Boston","MA","Data Mining","Base Salary","169000"
272.0,"Director, Data Scientist","Fitbit","Boston","MA","Data Mining","Base Salary","169000"
273.0,"Data Scientist / Principal Engineer","Johnson Controls","San Jose","CA","Big Data","Base Salary","135000"
274.0,"SENIOR SOFTWARE ENGINEER - DATA SERVICES","Twilio","San Francisco","CA","EMPTY","Base Salary","132000"
275.0,"Senior Biology Data Scientist II-III","AbbVie","Redwood City","CA","Data Science Scripting","Base Salary","114000"
276.0,"Sr Data Scientist for SW quality improvement","Cisco Systems","San Jose","CA","Big Data","Base Salary","126000"
277.0,"Data Scientist 4","Oracle","Seattle","WA","Product Management","Base Salary","114000"
278.0,"Data Scientist","Walmart","San Bruno","CA","Hadoop","Base Salary","110000"
279.0,"Data Scientist I","MediaMath","New York","NY","Scalability","Base Salary","112000"
280.0,"Principal Data Scientist","Pitney Bowes","Danbury","CT","Product Management","Base Salary","132000"
281.0,"Chief Data Scientist","Booz Allen Hamilton","McLean","VA","Data Mining","Base Salary","169000"
282.0,"Sr. Manager, Data Scientist, REQ 1048390","Pfizer","Cambridge","MA","Algorithms","Base Salary","142000"
283.0,"Data Scientist","Intel Corporation","Santa Clara","CA","Hadoop","Base Salary","113000"
284.0,"Data Scientist","Chegg","Santa Clara","CA","Python","Base Salary","121000"
285.0,"Data Scientist","Chegg","Santa Clara","CA","Python","Base Salary","121000"
286.0,"Data Scientist 4","Oracle","Seattle","WA","Product Management","Base Salary","114000"
287.0,"Data Scientist 4","Oracle","Seattle","WA","Product Management","Base Salary","114000"
288.0,"Data Scientist - Saffron AI Solutions","Intel Corporation","Santa Clara","CA","Hadoop","Base Salary","111000"
289.0,"Lead Data Scientist","Honeywell","Atlanta","GA","Hadoop","Base Salary","144000"
290.0,"Senior Data Scientist","Oracle","Broomfield","CO","Product Management","Base Salary","116000"
291.0,"Software Engineer - Applied Data Science","Lithium Technologies","San Francisco","CA","Hadoop","Base Salary","129000"
292.0,"Data Scientist (Product)","Spotify","New York","NY","Python","Base Salary","122000"
293.0,"Senior Data Scientist","Lattice Engines","San Mateo","CA","Hadoop","Base Salary","132000"
